fecha,precio_btc,mercado_cap_btc,total_volumen_btc,precio_ethereum,mercado_cap_ethereum,total_volumen_ethereum,precio_tether,mercado_cap_tether, total_volumen_tether,precio_binance,mercado_caps_binance,total_volumen_binance
2022-05-23,29163.167775739188,555459414424.212,26646754324.71057,1974.5811944790914,238722810744.1854,14627311157.92938,1.0002489308363216,73293335399.14137,48656268210.312294,317.7471875282028,53466327176.63561,2205318718.718959
2022-05-24,29655.02613175249,564885248021.9939,23486436836.56051,1979.770545006472,239375431792.86758,12880481567.942186,1.0000827867553639,73281161166.42685,42574391547.36637,328.2995872481599,55142195074.28065,2193790175.7620344
2022-05-25,29584.949851985926,563577022957.9133,23108764916.206596,1944.8428445072448,235347664835.4594,12554611854.439222,1.0002520711114598,73283972220.11108,41044607104.102905,326.18222222703326,54907712188.861275,2048522177.8231902
2022-05-26,29346.781442431617,559066076343.6685,31972044691.709656,1807.9694742881136,219247293980.15558,22669347246.961388,1.000913417497381,73342226815.48833,58941772868.09168,307.82419266656734,51941575183.316055,2808282194.4732704
2022-05-27,28646.65218193245,545752899521.8662,31756305901.005535,1724.8757340323443,208622909553.50162,24344535948.91357,1.000572052530444,72578744671.24936,59487875388.23608,301.2670509597398,50654148962.7049,2660229690.8098593
2022-05-28,29088.236452817226,554938694217.2793,15406515372.711676,1798.6948545788846,217791356992.8858,12004308559.066864,1.0014754081567552,72569743808.66728,32984797770.589886,309.0366097163039,52054875073.40336,1358488521.9324367
2022-05-29,29492.503214953642,561771345708.952,14496111397.934435,1814.9831598025937,219535934457.98206,9767849361.351788,1.000287053860536,72631887214.77895,25621699607.25038,306.1490273925443,51494080030.687096,1027383625.450085
2022-05-30,31740.94072516695,604926607440.7722,34891305294.623,1995.9364841552344,241204871683.00946,18803016950.09315,1.000411218451647,72546423763.60416,57255328109.99732,322.18861424458186,54167940538.84037,1711355389.025887
2022-05-31,31865.749621173167,607393396318.7885,29770567353.488136,1944.078766836179,235235428449.11987,17409076011.07384,0.9992437672892835,72483593605.70987,49972016539.31704,321.67744750510934,54115193868.88741,1758873055.136742
2022-06-01,29833.450330205254,569001624438.0176,35553330791.53566,1828.8926546074292,221596716649.26758,19904831726.00975,0.9995691882631984,72507199138.61003,54691364502.28903,300.88079134417956,50589204415.856735,1797066800.6735597
2022-06-02,30481.013996026013,580863150152.0535,24232399986.261147,1833.089840845753,222487488380.58923,16444980823.786707,1.0003054822238002,72606704176.49724,36976444033.34675,308.08906672268705,50390903058.942986,1137058518.5689042
2022-06-03,29714.143487149733,566275595800.1772,21997859590.66833,1776.979907458187,214879733566.94196,15012416794.069233,1.000424635007025,72574254041.19345,32247511606.470272,298.447625033423,48729625300.96596,1039501109.8270313
2022-06-04,29872.3603087139,568340135127.331,12911383481.843807,1804.2616695112486,217832477905.49496,8295912402.90654,1.001021005076998,72563385811.28702,20408536351.025272,301.8449199848928,49215183113.50602,802391051.6250657
2022-06-05,29917.764052456198,570209935092.4275,13395229055.412352,1805.3313949894373,218561175507.6209,8385254999.857006,1.0001014477721393,72550808924.27303,20339048017.316334,298.81564352419537,48872078492.54568,699650522.173192
2022-06-06,31372.5847629755,597966736176.5532,27644798123.298183,1860.1813068416047,225224111085.68793,16623006597.793545,1.0003217943958225,72460594246.57196,38813144709.48214,295.58954661325384,48425486340.92845,1554388272.3716736
2022-06-07,31265.469277693348,597205650752.5386,36111325508.04181,1818.3877119829308,220727955347.00992,23647547692.445885,1.001398919157062,72521860046.8122,52407169265.7973,290.92534560918034,47501410274.25411,1918205658.2404757
2022-06-08,30229.236836130378,576238781341.3682,27080284928.564884,1794.539625671828,217320792647.69748,17712874976.607395,1.000681381029651,72479902354.95128,40758288442.05518,288.97600349986436,47241635831.61536,1035851848.61637
2022-06-09,30101.187521431468,573819802894.6453,18871591862.340336,1788.4182866616045,216720355679.05618,10469080004.414614,0.9998560792479723,72483632298.7905,27684871362.012295,289.8022594010039,47342510176.88658,678010474.8814148
